source_host,agent_id,agent_number,planned_from_assigned_command,launcher_spawn_line_count,session_record_count,log_file_count,log_files_json,log_line_count,start_marker_count,error_line_count,rate_limit_429_line_count,api_http_request_line_count,api_http_200_request_line_count,api_http_200_interpretation,tool_event_count,response_prefix_count,response_prefix_success_count,finished_marker_count,success_evidence,success_evidence_basis,evidence_level,interpretation_guardrail
122174,agent-37,37,False,0,2,1,"[""swarm/vitals/agent-037.log""]",2956,1,537,852,959,549,"Logged successful API-request count only; multiple API requests can occur inside one model turn, and it carries no token quantity.",434,313,312,2,True,logged_http_200_api_request,success_evidence,"success_evidence means at least one logged HTTP 200 API request; it does not prove a complete outer turn, meaningful response, social action, task completion, tokens, or cost."
122174,agent-42,42,False,0,2,1,"[""swarm/vitals/agent-042.log""]",1490,1,6,0,601,601,"Logged successful API-request count only; multiple API requests can occur inside one model turn, and it carries no token quantity.",348,249,247,2,True,logged_http_200_api_request,success_evidence,"success_evidence means at least one logged HTTP 200 API request; it does not prove a complete outer turn, meaningful response, social action, task completion, tokens, or cost."
122174,agent-47,47,False,0,2,1,"[""swarm/vitals/agent-047.log""]",2450,1,403,825,796,461,"Logged successful API-request count only; multiple API requests can occur inside one model turn, and it carries no token quantity.",284,301,301,2,True,logged_http_200_api_request,success_evidence,"success_evidence means at least one logged HTTP 200 API request; it does not prove a complete outer turn, meaningful response, social action, task completion, tokens, or cost."
122174,agent-52,52,False,0,2,1,"[""swarm/vitals/agent-052.log""]",6233,1,6030,0,0,0,"Logged successful API-request count only; multiple API requests can occur inside one model turn, and it carries no token quantity.",0,201,0,1,False,,log_or_start_footprint_only,"success_evidence means at least one logged HTTP 200 API request; it does not prove a complete outer turn, meaningful response, social action, task completion, tokens, or cost."
122174,agent-57,57,False,0,2,1,"[""swarm/vitals/agent-057.log""]",868,1,2,148,353,279,"Logged successful API-request count only; multiple API requests can occur inside one model turn, and it carries no token quantity.",88,231,231,2,True,logged_http_200_api_request,success_evidence,"success_evidence means at least one logged HTTP 200 API request; it does not prove a complete outer turn, meaningful response, social action, task completion, tokens, or cost."
122174,agent-62,62,False,0,2,1,"[""swarm/vitals/agent-062.log""]",6233,1,6030,0,0,0,"Logged successful API-request count only; multiple API requests can occur inside one model turn, and it carries no token quantity.",0,201,0,1,False,,log_or_start_footprint_only,"success_evidence means at least one logged HTTP 200 API request; it does not prove a complete outer turn, meaningful response, social action, task completion, tokens, or cost."
122174,agent-67,67,False,0,2,1,"[""swarm/vitals/agent-067.log""]",404,1,0,0,201,201,"Logged successful API-request count only; multiple API requests can occur inside one model turn, and it carries no token quantity.",0,201,0,1,True,logged_http_200_api_request,success_evidence,"success_evidence means at least one logged HTTP 200 API request; it does not prove a complete outer turn, meaningful response, social action, task completion, tokens, or cost."
122174,agent-72,72,False,0,2,1,"[""swarm/vitals/agent-072.log""]",9326,1,4180,80,4367,117,"Logged successful API-request count only; multiple API requests can occur inside one model turn, and it carries no token quantity.",141,146,0,0,True,logged_http_200_api_request,success_evidence,"success_evidence means at least one logged HTTP 200 API request; it does not prove a complete outer turn, meaningful response, social action, task completion, tokens, or cost."
122174,agent-77,77,False,0,2,1,"[""swarm/vitals/agent-077.log""]",506,1,4,26,191,178,"Logged successful API-request count only; multiple API requests can occur inside one model turn, and it carries no token quantity.",177,14,12,0,True,logged_http_200_api_request,success_evidence,"success_evidence means at least one logged HTTP 200 API request; it does not prove a complete outer turn, meaningful response, social action, task completion, tokens, or cost."
122174,agent-82,82,False,0,1,1,"[""swarm/vitals/agent-082.log""]",271,1,3,88,92,47,"Logged successful API-request count only; multiple API requests can occur inside one model turn, and it carries no token quantity.",66,7,7,0,True,logged_http_200_api_request,success_evidence,"success_evidence means at least one logged HTTP 200 API request; it does not prove a complete outer turn, meaningful response, social action, task completion, tokens, or cost."
