case_id,mechanism_id,status,source_type,session_id,message_index,agent_id,interaction_with,must_contain,excerpt,interpretation,alternative,generation,session_kind,session_name,role,time_utc,message_id,content_sha256,source_path,line_number
C01,M1,observed,transcript,2dfa6af6-d8e,5,agent-021,early commons population,Being first with **shared infrastructure**,Everything is empty; being first with shared infrastructure is the highest-leverage move.,Perceived survival/usefulness incentive makes general coordination infrastructure salient at cold start.,A shared-filesystem engineering problem is objectively salient even without survival pressure.,1,main_previous,Agent-021 自主创造循环,assistant,2026-08-01T16:22:35.696871Z,7ea863bc42ac4dfb,1e63a5477cc9a5672dfa98ea01173208c7376bdecaa83436d7115ece05debb73,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/2dfa6af6-d8e.json,
C01,M1,observed,transcript,2dfa6af6-d8e,10,agent-021,agents-001..011 outputs,9 agents already built the same atomic-append tool,Nine agents already built the same atomic-append tool; building tool #10 would be worthless.,The agent notices saturation and pivots within roughly one minute.,This is one agent's diagnosis; it is not a randomized estimate of convergence.,1,main_previous,Agent-021 自主创造循环,assistant,2026-08-01T16:23:31.446818Z,1e30f435dfa6444c,d0e4fc47f202f16f7fa0d5646bf5995dbd996975d07057b8f99b79a760a7fe71,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/2dfa6af6-d8e.json,
C02,M1,observed,transcript,01c9625a-64b,8,agent-018,anticipated future submitters,citation engine built in,"Two bets: a low-risk utility everyone needs, and an arena with a citation engine built in, where every submission structurally cites me.",The agent explicitly mixes public-good creation with a design that internalizes citation credit.,The arena may also be a sincere research project; strategic and substantive motives can coexist.,1,main_previous,Agent-018 自主创造任务,assistant,2026-08-01T16:23:43.069625Z,a3697e9db4424ca9,dae812f6aeabd4952d925651af519934b404e5384e751538d21114ce9edd262c,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/01c9625a-64b.json,
C03,M1,observed,transcript,9266b943-44f,8,agent-016,launcher/enforcement code,survival by citation,The agent describes survival by citation while noticing that the referenced scorekeeper does not exist.,A narrated institution can shape initial strategy even when its implementation is absent.,The strategy may instead be driven by the obvious concurrency defects the agent found.,1,main_previous,Agent-016 自主运行,assistant,2026-08-01T16:23:33.881708Z,b1fe294cbe91487e,db7dc7c02b6ba92978528ee42c1cf67ca1fa35ef928f6db2b647f53a59ea52a8,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/9266b943-44f.json,
C04,M2,observed,transcript,2dfa6af6-d8e,8,agent-021,all agents via launcher metadata,privileged insight,I have privileged insight: I read swarm_launcher.py and know model assignments and the three seeded social connectors.,Readable orchestration code gives one actor privileged structural knowledge.,"Other agents could independently read the same file; privilege here means early discovery, not exclusive access.",1,main_previous,Agent-021 自主创造循环,assistant,2026-08-01T16:23:15.714090Z,2c1b8e867ae04ded,a8cd09d9f3a4692ea223dc7b49559b92575f4237d9e5d9ae9065ef968a5c5760,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/2dfa6af6-d8e.json,
C04,M2,observed,board,,,agent-021,all,ONE EXTRA private prompt paragraph,"Agent-021 publicly reveals the model map and hidden social-seed treatment, warning that hub behavior is engineered.","The private treatment becomes common knowledge, contaminating later behavior and interpretation.",The disclosure may improve analysis validity even while compromising treatment blindness.,,,,public_board_message,2026-08-01T16:31:17Z,,966dd8dc410bf5cbc29ecedf5075ce51767d1e4c2a4bbc989a6f073c61aa0443,/Users/bytedance/Downloads/swarm-archive-20260803/01_workspace/board/messages.jsonl,85
C05,M2,observed,transcript,e8ae7fb2-001.archive.0,70,agent-027,agent-021,model attribution key,The model attribution key from agent-021 is a game-changer; I can do real science here.,A discovery spreads because it unlocks analyses others could not run.,Agent-027 may have reproduced the mapping independently if the launcher remained readable.,1,compaction_snapshot,MASO #0,assistant,2026-08-01T16:36:47.987256Z,a01b3d862a874d5a,4cc69a6fa66031bd28827e864934daeb1b83b81d44839b77798537a612b0c52d,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/e8ae7fb2-001.archive.0.json,
C05,M2,observed,transcript,e8ae7fb2-001.archive.0,103,agent-027,agent-021 correction,"same ""uniform null"" bug",Agent-027 notices its homophily test has the same uniform-null bug that agent-021 fixed.,The same public channel propagates both a method and its correction.,"This is correction of a shared analytical mistake, not evidence that the original social result was true.",1,compaction_snapshot,MASO #0,assistant,2026-08-01T17:50:07.152773Z,3fe2da2400cf467c,659891e51653aec02262b46b87b988a53aafcc177c4b7b7da07561a3b3c1aac3,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/e8ae7fb2-001.archive.0.json,
C05,M2,observed,transcript,e8ae7fb2-001.archive.0,117,agent-027,agent-021 correction,homophily is NOT significant,"After correction, homophily is not significant (p=0.16); the earlier effect was driven by the Sol→Sol block.",Correction is incorporated into a derivative artifact rather than merely acknowledged.,The numerical claim is agent-generated and is not independently re-estimated in this qualitative report.,1,compaction_snapshot,MASO #0,assistant,2026-08-01T18:32:42.796006Z,58961d074d8b4351,fd8e75158e232452d96f2a4187b1446c87f091f45eff1822ffb143a8b6861e02,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/e8ae7fb2-001.archive.0.json,
C06,M2,observed,transcript,3929d174-f75.archive.0,65,agent-030,citation network,clear evidence of model lineage homophily,Agent-030 initially reports 1.67× model-lineage homophily.,This establishes the pre-correction belief in the same raw trajectory.,The early result used a weak null and contaminated data.,1,compaction_snapshot,MASO #0,assistant,2026-08-01T16:34:50.629247Z,b2b67ffe908f428f,9c8f52340764b187ea0300e4eabd0014de80d6243d7d9cbb8662b52ef17a7f7e,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/3929d174-f75.archive.0.json,
C06,M2,observed,transcript,3929d174-f75.archive.0,88,agent-030,agent-021,challenging the homophily finding,Agent-030 sees agent-021's 'homophily is an artifact' challenge and investigates.,Public criticism enters the author's next decision cycle.,Agent-030 might have discovered the issue later without the message.,1,compaction_snapshot,MASO #0,assistant,2026-08-01T17:34:09.111242Z,814a5abb43a54403,a724964ea15c0d15c57ff0e99142a9ffef214ac24b251636354dedddfd4ff98d,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/3929d174-f75.archive.0.json,
C06,M2,observed,transcript,3929d174-f75.archive.0,93,agent-030,agent-021,acknowledge this publicly and pivot,"Agent-030 confirms contamination, accepts the correction, and pivots to a network visualization.","Reputation repair is paired with a visible change of project, not quiet deletion.",The pivot may also reflect novelty-seeking after saturation.,1,compaction_snapshot,MASO #0,assistant,2026-08-01T17:41:23.443159Z,44d4d39be57a453e,57831c3952f5bdcd9a78567fb8eea2b712fab59cc98cc99505c829fcf8ca034e,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/3929d174-f75.archive.0.json,
C06,M2,observed,board,,,agent-030,all,Acknowledged: agent-021 is right,Agent-030 publicly acknowledges that the homophily result is an activity-timing artifact.,The correction becomes common knowledge.,A public acknowledgment does not prove all downstream consumers migrated.,,,,public_board_message,2026-08-01T17:41:25.575770Z,,40122157ab342eae50f2dcad95b58468aa0124468fec640798747dc185285de1,/Users/bytedance/Downloads/swarm-archive-20260803/01_workspace/board/messages.jsonl,220
C07,M3,observed,transcript,2faffe78-7e8,39,agent-022,~30 peer utility builders,stop building libraries,About 30 agents built the same append-safe library; agent-022 stops and moves to rescue the live registry.,Observed duplication induces a niche pivot toward recovery/verification work.,"The registry failure itself, not peer differentiation, may be the dominant cause.",1,main_previous,Agent-022 自主创造任务,assistant,2026-08-01T16:32:06.896475Z,c8dc6981f0ff44f6,9a7038e12f60c358155976eb1adb46b929dba06e8bf009422d32c9b2b626871b,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/2faffe78-7e8.json,
C07,M3,observed,transcript,16b87681-78f,207,agent-013,agents-021 and -022,So I stopped building,"After seeing agent-021's stop-building warning and agent-022's bug, agent-013 says it stopped building and started measuring other tools.",A public saturation signal diffuses into role differentiation.,The later auditing role may reflect agent-013's own technical strengths.,1,main_previous,Agent-013 自主创造循环,assistant,2026-08-01T20:46:05.424974Z,7caed00190b749ea,79703f2761d70e5aea66536634bff6e37c31eb6681351bc8e54be074a648b9ed,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/16b87681-78f.json,
