host,agent,path,bytes,lines,http_200,http_429,api_errors,tool_events,post_message_events,post_citation_events,turn_markers,max_tool_rounds,close_markers,first_close_line,http_200_after_first_close,tool_events_after_first_close,turns_after_first_close,finished_200,first_line,last_line,sha256
122174,agent-0101,/Users/bytedance/Downloads/swarm-gen2/122174/swarm/vitals/agent-0101.log,275762,2213,399,329,330,293,75,43,200,1,7,1857,129,6,123,True,19:49:07 [runner] [agent-0101] Starting with provider=gpt56_sol_reasoning_xhigh,22:54:01 [runner] [agent-0101] Finished after 200 turns,2b65c341a9438e2864482fb3f395b715d681fe875aeaec3b7cdbee01fa2bf06b
122174,agent-0106,/Users/bytedance/Downloads/swarm-gen2/122174/swarm/vitals/agent-0106.log,131519,1724,532,0,0,360,54,65,200,2,183,645,315,133,186,True,19:49:10 [runner] [agent-0106] Starting with provider=es1_orange_o50,23:50:00 [runner] [agent-0106] Finished after 200 turns,3be3861126147e20620a59b2311c7c4d38a961a2c003c754e45b41b2c7e94fbc
122174,agent-0111,/Users/bytedance/Downloads/swarm-gen2/122174/swarm/vitals/agent-0111.log,267989,2131,392,320,323,307,84,25,200,1,32,820,274,165,156,True,19:49:13 [runner] [agent-0111] Starting with provider=gpt56_sol_reasoning_high,22:52:37 [runner] [agent-0111] Finished after 200 turns,3e8e1aae50af040ff875cb5d4ec5b34666ac16de4bb922a62e52fd09fa7b7d6b
122174,agent-0116,/Users/bytedance/Downloads/swarm-gen2/122174/swarm/vitals/agent-0116.log,670774,6233,0,0,6030,0,0,0,200,201,0,,0,0,0,True,19:49:16 [runner] [agent-0116] Starting with provider=seed-stable-reasoning-high,12:51:04 [runner] [agent-0116] Finished after 200 turns,47a57b6b04ddf81ce179de565ad55f3bdca3b850733cb3c77f4a14f36a19c59d
122174,agent-0121,/Users/bytedance/Downloads/swarm-gen2/122174/swarm/vitals/agent-0121.log,215335,1678,262,269,271,128,19,15,200,0,2,1656,6,0,6,True,19:49:19 [runner] [agent-0121] Starting with provider=gpt56_sol,22:02:35 [runner] [agent-0121] Finished after 200 turns,3f5416fd445217cff20ddd80be6939320908b4da53c3a0f5b32a31503972fade
122174,agent-0126,/Users/bytedance/Downloads/swarm-gen2/122174/swarm/vitals/agent-0126.log,670769,6233,0,0,6030,0,0,0,200,201,0,,0,0,0,True,19:49:22 [runner] [agent-0126] Starting with provider=seed-stable-reasoning,12:51:10 [runner] [agent-0126] Finished after 200 turns,a7226765a95531cbc40047cfd5fc6b9bcc9c50245e60ba69265c1857382847f9
122174,agent-0131,/Users/bytedance/Downloads/swarm-gen2/122174/swarm/vitals/agent-0131.log,120674,1290,518,0,0,353,46,47,200,2,8,612,290,120,183,True,19:49:25 [runner] [agent-0131] Starting with provider=es1_orange_o50_thinking_max,23:50:57 [runner] [agent-0131] Finished after 200 turns,4cd32cb4f775de77ee9ef641866f673b8ecf31652d8ad00498b50ebde5ac5c24
122174,agent-0136,/Users/bytedance/Downloads/swarm-gen2/122174/swarm/vitals/agent-0136.log,2532584,12682,133,12,5856,160,2,4,200,199,0,,0,0,0,True,19:49:28 [runner] [agent-0136] Starting with provider=seed-stable,15:30:33 [runner] [agent-0136] Finished after 200 turns,364c8412a3886ab12c1df58286a4d8bcbff390b5bb5fdd16081e587dd2cac794
122174,agent-0141,/Users/bytedance/Downloads/swarm-gen2/122174/swarm/vitals/agent-0141.log,110291,1682,422,0,0,236,43,30,200,2,7,248,337,142,196,True,22:02:41 [runner] [agent-0141] Starting with provider=es1_orange_o50_thinking,00:41:52 [runner] [agent-0141] Finished after 200 turns,74fa85f0317ef1a0484ae0ee5bcaa23f4c297936ad370ab4cf76db346cd8c055
122174,agent-0146,/Users/bytedance/Downloads/swarm-gen2/122174/swarm/vitals/agent-0146.log,120821,1095,288,96,32,139,17,14,200,1,28,182,275,108,199,True,22:52:44 [runner] [agent-0146] Starting with provider=gpt56_sol_reasoning_xhigh,02:02:02 [runner] [agent-0146] Finished after 200 turns,ee868b1a5a23e5f5ddaf71cf5a19c541ad1d2f29621cb37e7af2ed86089c6366
