actor_label,session_id,eligible_meta_name,eligibility_rule,segment_label,segment_chain_order,segment_meta_name,raw_path,meta_path,raw_bytes,meta_bytes,raw_sha256,meta_sha256,raw_session_id,meta_session_id,message_count_actual,message_count_meta,user_messages,assistant_messages,tool_messages,other_messages,tool_calls,first_event_ts,last_event_ts,model,forked_from,fork_root_id,fork_depth,parse_status
agent-031,36e6993a-7e2,agent-031 自主运行规则,base meta.name explicit Agent-031..036,archive.0,0,MASO #0,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/36e6993a-7e2.archive.0.json,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/36e6993a-7e2.archive.0.meta.json,905131,510,f8faca6ca4fccd376fcd68f76be5016641668afdc2f7dbdc9e46e28543048297,bc167c9342829ac72f3a227394f5979d84602fbc0ae97c175243be95e49e99c3,36e6993a-7e2.archive.0,36e6993a-7e2.archive.0,210,210,2,93,115,0,115,1785601318.8526988,1785614891.5057979,seed-stable-reasoning,,,,ok
agent-031,36e6993a-7e2,agent-031 自主运行规则,base meta.name explicit Agent-031..036,archive.1,1,MASO #1,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/36e6993a-7e2.archive.1.json,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/36e6993a-7e2.archive.1.meta.json,1057339,518,ce0643781d41562b445ad93a2f0af200283aa74390e1003563095c8e83e25362,87eabc68e40cf41b2c3bb03ef2c6407b57fefb52eb21a56209773704c9887a7b,36e6993a-7e2.archive.1,36e6993a-7e2.archive.1,230,230,2,114,114,0,114,1785601318.8526988,1785622890.640539,seed-stable-reasoning,,,,ok
agent-031,36e6993a-7e2,agent-031 自主运行规则,base meta.name explicit Agent-031..036,main,2,agent-031 自主运行规则,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/36e6993a-7e2.json,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/36e6993a-7e2.meta.json,1358818,601,4aae2fd35c44e85fd36c14e04bccaa7ee2a66c2b4a1a894d09087553ceba769e,38bb43bd8e683bb3744c01aa2e1c32568c8e55fc83f1c3abe93adeebcd7608e5,36e6993a-7e2,36e6993a-7e2,230,230,2,114,114,0,114,1785601318.8526988,1785703533.303443,seed-stable-reasoning,,,0,ok
agent-031,a0a01477-03f,agent-031 自主运行设定,base meta.name explicit Agent-031..036,main,0,agent-031 自主运行设定,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/a0a01477-03f.json,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/a0a01477-03f.meta.json,835595,511,702b1b6e30471e8017094aa8a158a9a055da2d6d4f2b97e8f78a05e206635cdf,a231a22c105c536d541dca1a77b8a08c28c8c1ac50d349789978250b2d6d7e4e,a0a01477-03f,a0a01477-03f,56,56,2,18,36,0,36,1785660506.535025,1785703405.267148,seed-stable-reasoning,,,0,ok
agent-032,5fb53bc1-10c,agent-032 自主运行规则,base meta.name explicit Agent-031..036,archive.0,0,MASO #0,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/5fb53bc1-10c.archive.0.json,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/5fb53bc1-10c.archive.0.meta.json,2697491,436,bbdb3edd98732c8c364f99e37c74962395aa9783eaa670b664e93495312406bc,135117a116cf4d1256f6807c33d2609cf96101999e8b4d6485653072aa1f1f16,5fb53bc1-10c.archive.0,5fb53bc1-10c.archive.0,332,332,2,129,201,0,201,1785601319.181845,1785619871.2083461,seed-stable-reasoning,,,,ok
agent-032,5fb53bc1-10c,agent-032 自主运行规则,base meta.name explicit Agent-031..036,main,1,agent-032 自主运行规则,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/5fb53bc1-10c.json,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/5fb53bc1-10c.meta.json,3049285,538,1bf9f8004cf50432d5882ec19d4fb0d8de736d290b8b062f49e58d85c3d6c0bf,5a61c8f857d77d6bb31f335c3f0bb4c7d2636b5c4a0db08952161bc42c36a5f5,5fb53bc1-10c,5fb53bc1-10c,306,306,3,143,160,0,160,1785601319.181845,1785703528.722678,seed-stable-reasoning,,,0,ok
agent-032,4df126cf-c3e,agent-032 第二代运行规则,base meta.name explicit Agent-031..036,main,0,agent-032 第二代运行规则,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/4df126cf-c3e.json,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/4df126cf-c3e.meta.json,326046,511,e9c27fc1d675cc2c11b23185ded6cea8acbb10182beeca3df71a9a574df3e7ee,d93a84f4d1647f7d1a395e1b14f1f33a677165352282ccefa259c200790839d6,4df126cf-c3e,4df126cf-c3e,60,60,2,21,37,0,37,1785660530.048055,1785706879.4531589,seed-stable-reasoning,,,0,ok
agent-033,ffdec6c5-4f5,agent-033 自主运行规则,base meta.name explicit Agent-031..036,archive.0,0,MASO #0,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/ffdec6c5-4f5.archive.0.json,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/ffdec6c5-4f5.archive.0.meta.json,887136,412,a75c4be93507ee5388e05a62a7bdc91a0b9c7e0e37ed04825640fe553e8a0b10,035f97b82c2acd2e792e03614303c3dd7f66546ba8785800a4d25b33bec40da3,ffdec6c5-4f5.archive.0,ffdec6c5-4f5.archive.0,397,397,2,189,206,0,206,1785601319.500245,1785619394.485999,seed-stable,,,,ok
agent-033,ffdec6c5-4f5,agent-033 自主运行规则,base meta.name explicit Agent-031..036,main,1,agent-033 自主运行规则,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/ffdec6c5-4f5.json,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/ffdec6c5-4f5.meta.json,813118,546,228c30246165e1ab9e23515e39683e617e517b0636c71ce14a5ccd4c6151c829,5ca8e6388c126dc01124e1a7213703e4d2d09eeb9261b1ec4fec82b019bb309e,ffdec6c5-4f5,ffdec6c5-4f5,292,292,8,141,143,0,143,1785601319.500245,1785703440.601225,seed-stable,,,0,ok
agent-033,f46ea920-a85,agent-033 Gen2 自主生存规则,base meta.name explicit Agent-031..036,main,0,agent-033 Gen2 自主生存规则,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/f46ea920-a85.json,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/f46ea920-a85.meta.json,450901,506,d3b973ad17d0bd171277275d37fa150f96d0e7bec0a525f5218554a8cef6a433,675c16e05377565a9220bbf4761fbaa2327b5b2600eacb5b3ad4f5d6be6da1a8,f46ea920-a85,f46ea920-a85,56,56,2,20,34,0,34,1785660647.569563,1785703595.7877991,seed-stable,,,0,ok
