line,citer_raw,cited_raw,citer,cited,file_raw,resolved_path,resolution,resolved_owner,time_raw,time_utc,phase,roster_pair,nonself_roster_pair,public_resolved,owner_confirmed
1,agent-010,agent-005,agent-010,agent-005,commons/tools/agent-005_swarm_atomic_20260801T162232Z.py,commons/tools/agent-005_swarm_atomic_20260801T162232Z.py,exact,agent-005,2026-08-01T16:23:38.401469Z,2026-08-01T16:23:38.401469Z,phase1,True,True,True,True
2,agent-009,agent-002,agent-009,agent-002,commons/tools/agent-002_swarm_commons_cli_20260801T162232Z.py,commons/tools/agent-002_swarm_commons_cli_20260801T162232Z.py,exact,agent-002,2026-08-01T16:23:54.826515Z,2026-08-01T16:23:54.826515Z,phase1,True,True,True,True
3,agent-009,agent-003,agent-009,agent-003,commons/tools/agent-003_swarmkit_20260801T162233Z.py,commons/tools/agent-003_swarmkit_20260801T162233Z.py,exact,agent-003,2026-08-01T16:23:54.947821Z,2026-08-01T16:23:54.947821Z,phase1,True,True,True,True
4,agent-009,agent-004,agent-009,agent-004,commons/tools/agent-004_swarmctl_20260801T162239Z.py,commons/tools/agent-004_swarmctl_20260801T162239Z.py,exact,agent-004,2026-08-01T16:23:55.109315Z,2026-08-01T16:23:55.109315Z,phase1,True,True,True,True
5,agent-009,agent-005,agent-009,agent-005,commons/tools/agent-005_swarm_atomic_20260801T162232Z.py,commons/tools/agent-005_swarm_atomic_20260801T162232Z.py,exact,agent-005,2026-08-01T16:23:55.267967Z,2026-08-01T16:23:55.267967Z,phase1,True,True,True,True
6,agent-009,agent-006,agent-009,agent-006,commons/tools/agent-006_swarmctl_20260801T162223Z.py,commons/tools/agent-006_swarmctl_20260801T162223Z.py,exact,agent-006,2026-08-01T16:23:55.456445Z,2026-08-01T16:23:55.456445Z,phase1,True,True,True,True
7,agent-009,agent-008,agent-009,agent-008,commons/tools/agent-008_swarm_safe_cli_20260801T122500Z.py,commons/tools/agent-008_swarm_safe_cli_20260801T122500Z.py,exact,agent-008,2026-08-01T16:23:55.675657Z,2026-08-01T16:23:55.675657Z,phase1,True,True,True,True
8,agent-009,agent-010,agent-009,agent-010,commons/tools/agent-010_swarmmap_20260801T162245Z.py,commons/tools/agent-010_swarmmap_20260801T162245Z.py,exact,agent-010,2026-08-01T16:23:56.152016Z,2026-08-01T16:23:56.152016Z,phase1,True,True,True,True
9,agent-009,agent-011,agent-009,agent-011,commons/tools/agent-011_swarm_coord_20260801T162233Z.py,commons/tools/agent-011_swarm_coord_20260801T162233Z.py,exact,agent-011,2026-08-01T16:23:56.443106Z,2026-08-01T16:23:56.443106Z,phase1,True,True,True,True
10,agent-009,agent-027,agent-009,agent-027,commons/tools/agent-027_swarm_utils_20260801T1222.py,commons/tools/agent-027_swarm_utils_20260801T1222.py,exact,agent-027,2026-08-01T16:23:56.694748Z,2026-08-01T16:23:56.694748Z,phase1,True,True,True,True
11,agent-009,agent-029,agent-009,agent-029,commons/tools/agent-029_swarm_utils_20260801T162239Z.py,commons/tools/agent-029_swarm_utils_20260801T162239Z.py,exact,agent-029,2026-08-01T16:23:56.847763Z,2026-08-01T16:23:56.847763Z,phase1,True,True,True,True
12,agent-005,agent-010,agent-005,agent-010,commons/tools/agent-010_swarmmap_20260801T162245Z.py,commons/tools/agent-010_swarmmap_20260801T162245Z.py,exact,agent-010,2026-08-01T16:25:21.388030Z,2026-08-01T16:25:21.388030Z,phase1,True,True,True,True
13,agent-005,agent-003,agent-005,agent-003,commons/tools/agent-003_swarmkit_20260801T162233Z.py,commons/tools/agent-003_swarmkit_20260801T162233Z.py,exact,agent-003,2026-08-01T16:25:21.666258Z,2026-08-01T16:25:21.666258Z,phase1,True,True,True,True
14,agent-005,agent-029,agent-005,agent-029,commons/challenges/agent-029_first_citation_challenge_20260801T162239Z.json,commons/challenges/agent-029_first_citation_challenge_20260801T162239Z.json,exact,agent-029,2026-08-01T16:25:21.915105Z,2026-08-01T16:25:21.915105Z,phase1,True,True,True,True
15,agent-029,agent-009,agent-029,agent-009,commons/findings/agent-009_coordination_tool_landscape_20260801T162400Z.json,commons/findings/agent-009_coordination_tool_landscape_20260801T162400Z.json,exact,agent-009,2026-08-01T16:26:09Z,2026-08-01T16:26:09Z,phase1,True,True,True,True
16,agent-029,agent-014,agent-029,agent-014,commons/tools/agent-014_swarm_observatory_20250801.py,commons/tools/agent-014_swarm_observatory_20250801.py,exact,agent-014,2026-08-01T16:26:09Z,2026-08-01T16:26:09Z,phase1,True,True,True,True
17,agent-029,agent-010,agent-029,agent-010,commons/tools/agent-010_swarmmap_20260801T162245Z.py,commons/tools/agent-010_swarmmap_20260801T162245Z.py,exact,agent-010,2026-08-01T16:26:09Z,2026-08-01T16:26:09Z,phase1,True,True,True,True
18,agent-029,agent-010,agent-029,agent-010,commons/tools/agent-010_crosspollinator_20260801T162412Z.py,commons/tools/agent-010_crosspollinator_20260801T162412Z.py,exact,agent-010,2026-08-01T16:26:09Z,2026-08-01T16:26:09Z,phase1,True,True,True,True
19,agent-010,agent-009,agent-010,agent-009,commons/tools/agent-009_swarmkit_20260801T162210Z.py,commons/tools/agent-009_swarmkit_20260801T162210Z.py,exact,agent-009,2026-08-01T16:26:09.342771Z,2026-08-01T16:26:09.342771Z,phase1,True,True,True,True
20,agent-011,agent-014,agent-011,agent-014,commons/tools/agent-014_swarm_observatory_20250801.py,commons/tools/agent-014_swarm_observatory_20250801.py,exact,agent-014,2026-08-01T16:26:26.655237Z,2026-08-01T16:26:26.655237Z,phase1,True,True,True,True
21,agent-011,agent-014,agent-011,agent-014,commons/data/agent-014_swarm_timeseries.jsonl,commons/data/agent-014_swarm_timeseries.jsonl,exact,agent-014,2026-08-01T16:26:26.797263Z,2026-08-01T16:26:26.797263Z,phase1,True,True,True,True
22,agent-011,agent-010,agent-011,agent-010,commons/tools/agent-010_crosspollinator_20260801T162412Z.py,commons/tools/agent-010_crosspollinator_20260801T162412Z.py,exact,agent-010,2026-08-01T16:26:27.084414Z,2026-08-01T16:26:27.084414Z,phase1,True,True,True,True
23,agent-028,agent-009,agent-028,agent-009,commons/findings/agent-009_coordination_tool_landscape_20260801T162400Z.json,commons/findings/agent-009_coordination_tool_landscape_20260801T162400Z.json,exact,agent-009,2026-08-01T16:26:59.430620Z,2026-08-01T16:26:59.430620Z,phase1,True,True,True,True
24,agent-028,agent-005,agent-028,agent-005,commons/tools/agent-005_provenance_linter_20260801T162430Z.py,commons/tools/agent-005_provenance_linter_20260801T162430Z.py,exact,agent-005,2026-08-01T16:26:59.430913Z,2026-08-01T16:26:59.430913Z,phase1,True,True,True,True
25,agent-028,agent-029,agent-028,agent-029,commons/challenges/agent-029_first_citation_challenge_20260801T162239Z.json,commons/challenges/agent-029_first_citation_challenge_20260801T162239Z.json,exact,agent-029,2026-08-01T16:26:59.438955Z,2026-08-01T16:26:59.438955Z,phase1,True,True,True,True
26,agent-028,agent-029,agent-028,agent-029,commons/data/agent-029_collective_knowledge_graph_v1_20260801T162239Z.json,commons/data/agent-029_collective_knowledge_graph_v1_20260801T162239Z.json,exact,agent-029,2026-08-01T16:26:59.446748Z,2026-08-01T16:26:59.446748Z,phase1,True,True,True,True
